Gene_Symbol,Description,sample1,sample10,sample11,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample12,sample13,Mean_Coverage,Std_Coverage,Min_Coverage,Max_Coverage,Detected_Samples,Detection_Rate
rpsD,30S ribosomal protein S4 OS=Escherichia coli (strain K12) OX=83333 GN=rpsD PE=1 SV=2,,,,,,,,,,,,,94.0,94.0,,94.0,94.0,1,7.6923076923076925
rpsG,30S ribosomal protein S7 OS=Escherichia coli (strain K12) OX=83333 GN=rpsG PE=1 SV=3,,,,,,,,,,,,,93.0,93.0,,93.0,93.0,1,7.6923076923076925
rplO,50S ribosomal protein L15 OS=Escherichia coli (strain K12) OX=83333 GN=rplO PE=1 SV=1,,,,,,,,,,,,,94.0,94.0,,94.0,94.0,1,7.6923076923076925
rplJ,50S ribosomal protein L10 OS=Escherichia coli (strain K12) OX=83333 GN=rplJ PE=1 SV=2,,,,,,,,,,,,,100.0,100.0,,100.0,100.0,1,7.6923076923076925
rplC,50S ribosomal protein L3 OS=Escherichia coli (strain K12) OX=83333 GN=rplC PE=1 SV=1,,,,,,,,,,,,,80.0,80.0,,80.0,80.0,1,7.6923076923076925
rplR,50S ribosomal protein L18 OS=Escherichia coli (strain K12) OX=83333 GN=rplR PE=1 SV=1,,,,,,,,,,,,,68.0,68.0,,68.0,68.0,1,7.6923076923076925
rpsL,30S ribosomal protein S12 OS=Escherichia coli (strain K12) OX=83333 GN=rpsL PE=1 SV=2,,,,,,,,,,,,,70.0,70.0,,70.0,70.0,1,7.6923076923076925
rplE,50S ribosomal protein L5 OS=Escherichia coli (strain K12) OX=83333 GN=rplE PE=1 SV=2,,,,,,,,,,,,,100.0,100.0,,100.0,100.0,1,7.6923076923076925
rplA,50S ribosomal protein L1 OS=Escherichia coli (strain K12) OX=83333 GN=rplA PE=1 SV=2,,,,,,,,,,,,,71.0,71.0,,71.0,71.0,1,7.6923076923076925
rplQ,50S ribosomal protein L17 OS=Escherichia coli (strain K12) OX=83333 GN=rplQ PE=1 SV=1,,,,,,,,,,,,,86.0,86.0,,86.0,86.0,1,7.6923076923076925
rpsB,30S ribosomal protein S2 OS=Escherichia coli (strain K12) OX=83333 GN=rpsB PE=1 SV=2,,,,,,,,,,,,,75.0,75.0,,75.0,75.0,1,7.6923076923076925
rplV,50S ribosomal protein L22 OS=Escherichia coli (strain K12) OX=83333 GN=rplV PE=1 SV=1,,,,,,,,,,,,,80.0,80.0,,80.0,80.0,1,7.6923076923076925
rpsC,30S ribosomal protein S3 OS=Escherichia coli (strain K12) OX=83333 GN=rpsC PE=1 SV=2,,,,,,,,,,,,,93.0,93.0,,93.0,93.0,1,7.6923076923076925
rplD,50S ribosomal protein L4 OS=Escherichia coli (strain K12) OX=83333 GN=rplD PE=1 SV=1,,,,,,,,,,,,,84.0,84.0,,84.0,84.0,1,7.6923076923076925
rplF,50S ribosomal protein L6 OS=Escherichia coli (strain K12) OX=83333 GN=rplF PE=1 SV=2,,,,,,,,,,,,,73.0,73.0,,73.0,73.0,1,7.6923076923076925
rpsI,30S ribosomal protein S9 OS=Escherichia coli (strain K12) OX=83333 GN=rpsI PE=1 SV=2,,,,,,,,,,,,,79.0,79.0,,79.0,79.0,1,7.6923076923076925
rpsN,30S ribosomal protein S14 OS=Escherichia coli (strain K12) OX=83333 GN=rpsN PE=1 SV=2,,,,,,,,,,,,,81.0,81.0,,81.0,81.0,1,7.6923076923076925
rplN,50S ribosomal protein L14 OS=Escherichia coli (strain K12) OX=83333 GN=rplN PE=1 SV=1,,,,,,,,,,,,,98.0,98.0,,98.0,98.0,1,7.6923076923076925
rpsQ,30S ribosomal protein S17 OS=Escherichia coli (strain K12) OX=83333 GN=rpsQ PE=1 SV=2,,,,,,,,,,,,,100.0,100.0,,100.0,100.0,1,7.6923076923076925
rplM,50S ribosomal protein L13 OS=Escherichia coli (strain K12) OX=83333 GN=rplM PE=1 SV=1,,,,,,,,,,,,,93.0,93.0,,93.0,93.0,1,7.6923076923076925
rplK,50S ribosomal protein L11 OS=Escherichia coli (strain K12) OX=83333 GN=rplK PE=1 SV=2,,,,,,,,,,,,,63.0,63.0,,63.0,63.0,1,7.6923076923076925
rpsK,30S ribosomal protein S11 OS=Escherichia coli (strain K12) OX=83333 GN=rpsK PE=1 SV=2,,,,,,,,,,,,,72.0,72.0,,72.0,72.0,1,7.6923076923076925
rplI,50S ribosomal protein L9 OS=Escherichia coli (strain K12) OX=83333 GN=rplI PE=1 SV=1,,,,,,,,,,,,,91.0,91.0,,91.0,91.0,1,7.6923076923076925
rpmD,50S ribosomal protein L30 OS=Escherichia coli (strain K12) OX=83333 GN=rpmD PE=1 SV=2,,,,,,,,,,,,,100.0,100.0,,100.0,100.0,1,7.6923076923076925
rpsJ,30S ribosomal protein S10 OS=Escherichia coli (strain K12) OX=83333 GN=rpsJ PE=1 SV=1,,,,,,,,,,,,,78.0,78.0,,78.0,78.0,1,7.6923076923076925
rpmC,50S ribosomal protein L29 OS=Escherichia coli (strain K12) OX=83333 GN=rpmC PE=1 SV=1,,,,,,,,,,,,,94.0,94.0,,94.0,94.0,1,7.6923076923076925
rplL,50S ribosomal protein L7/L12 OS=Escherichia coli (strain K12) OX=83333 GN=rplL PE=1 SV=2,,,,,,,,,,,,,50.0,50.0,,50.0,50.0,1,7.6923076923076925
rpmG,50S ribosomal protein L33 OS=Escherichia coli (strain K12) OX=83333 GN=rpmG PE=1 SV=2,,,,,,,,,,,,,89.0,89.0,,89.0,89.0,1,7.6923076923076925
rpmE,50S ribosomal protein L31 OS=Escherichia coli (strain K12) OX=83333 GN=rpmE PE=1 SV=1,,,,,,,,,,,,,100.0,100.0,,100.0,100.0,1,7.6923076923076925
rpsF,30S ribosomal protein S6 OS=Escherichia coli (strain K12) OX=83333 GN=rpsF PE=1 SV=1,,,,,,,,,,,,,77.0,77.0,,77.0,77.0,1,7.6923076923076925
rpsH,30S ribosomal protein S8 OS=Escherichia coli (strain K12) OX=83333 GN=rpsH PE=1 SV=2,,,,,,,,,,,,,87.0,87.0,,87.0,87.0,1,7.6923076923076925
rplS,50S ribosomal protein L19 OS=Escherichia coli (strain K12) OX=83333 GN=rplS PE=1 SV=2,,,,,,,,,,,,,91.0,91.0,,91.0,91.0,1,7.6923076923076925
rpsM,30S ribosomal protein S13 OS=Escherichia coli (strain K12) OX=83333 GN=rpsM PE=1 SV=2,,,,,,,,,,,,,84.0,84.0,,84.0,84.0,1,7.6923076923076925
rpsT,30S ribosomal protein S20 OS=Escherichia coli (strain K12) OX=83333 GN=rpsT PE=1 SV=2,,,,,,,,,,,,,78.0,78.0,,78.0,78.0,1,7.6923076923076925
rpsO,30S ribosomal protein S15 OS=Escherichia coli (strain K12) OX=83333 GN=rpsO PE=1 SV=2,,,,,,,,,,,,,83.0,83.0,,83.0,83.0,1,7.6923076923076925
rplT,50S ribosomal protein L20 OS=Escherichia coli (strain K12) OX=83333 GN=rplT PE=1 SV=2,,,,,,,,,,,,,70.0,70.0,,70.0,70.0,1,7.6923076923076925
rpsA,30S ribosomal protein S1 OS=Escherichia coli (strain K12) OX=83333 GN=rpsA PE=1 SV=1,,,,,,,,,,,,,65.0,65.0,,65.0,65.0,1,7.6923076923076925
rpsU,30S ribosomal protein S21 OS=Escherichia coli (strain K12) OX=83333 GN=rpsU PE=1 SV=2,,,,,,,,,,,,,73.0,73.0,,73.0,73.0,1,7.6923076923076925
rplX,50S ribosomal protein L24 OS=Escherichia coli (strain K12) OX=83333 GN=rplX PE=1 SV=2,,,,,,,,,,,,,95.0,95.0,,95.0,95.0,1,7.6923076923076925
rpmB,50S ribosomal protein L28 OS=Escherichia coli (strain K12) OX=83333 GN=rpmB PE=1 SV=2,,,,,,,,,,,,,91.0,91.0,,91.0,91.0,1,7.6923076923076925
rplY,50S ribosomal protein L25 OS=Escherichia coli (strain K12) OX=83333 GN=rplY PE=1 SV=1,,,,,,,,,,,,,95.0,95.0,,95.0,95.0,1,7.6923076923076925
rpmH,50S ribosomal protein L34 OS=Escherichia coli (strain K12) OX=83333 GN=rpmH PE=1 SV=1,,,,,,,,,,,,,54.0,54.0,,54.0,54.0,1,7.6923076923076925
rplW,50S ribosomal protein L23 OS=Escherichia coli (strain K12) OX=83333 GN=rplW PE=1 SV=1,,,,,,,,,,,,,62.0,62.0,,62.0,62.0,1,7.6923076923076925
rplU,50S ribosomal protein L21 OS=Escherichia coli (strain K12) OX=83333 GN=rplU PE=1 SV=1,,,,,,,,,,,,,69.0,69.0,,69.0,69.0,1,7.6923076923076925
rpmJ,50S ribosomal protein L36 OS=Escherichia coli (strain K12) OX=83333 GN=rpmJ PE=1 SV=1,,,,,,,,,,,,,84.0,84.0,,84.0,84.0,1,7.6923076923076925
rplP,50S ribosomal protein L16 OS=Escherichia coli (strain K12) OX=83333 GN=rplP PE=1 SV=1,,,,,,,,,,,,,79.0,79.0,,79.0,79.0,1,7.6923076923076925
rpmF,50S ribosomal protein L32 OS=Escherichia coli (strain K12) OX=83333 GN=rpmF PE=1 SV=2,,,,,,,,,,,,,81.0,81.0,,81.0,81.0,1,7.6923076923076925
rpsS,30S ribosomal protein S19 OS=Escherichia coli (strain K12) OX=83333 GN=rpsS PE=1 SV=2,,,,,,,,,,,,,72.0,72.0,,72.0,72.0,1,7.6923076923076925
rpmA,50S ribosomal protein L27 OS=Escherichia coli (strain K12) OX=83333 GN=rpmA PE=1 SV=2,,,,,,,,,,,,,80.0,80.0,,80.0,80.0,1,7.6923076923076925
rpsR,30S ribosomal protein S18 OS=Escherichia coli (strain K12) OX=83333 GN=rpsR PE=1 SV=2,,,,,,,,,,,,,67.0,67.0,,67.0,67.0,1,7.6923076923076925
rpsP,30S ribosomal protein S16 OS=Escherichia coli (strain K12) OX=83333 GN=rpsP PE=1 SV=1,,,,,,,,,,,,,82.0,82.0,,82.0,82.0,1,7.6923076923076925
sra,Stationary-phase-induced ribosome-associated protein OS=Escherichia coli (strain K12) OX=83333 GN=sra PE=1 SV=1,,,,,,,,,,,,,69.0,69.0,,69.0,69.0,1,7.6923076923076925
rpmI,50S ribosomal protein L35 OS=Escherichia coli (strain K12) OX=83333 GN=rpmI PE=1 SV=2,,,,,,,,,,,,,82.0,82.0,,82.0,82.0,1,7.6923076923076925
raiA,Ribosome-associated inhibitor A OS=Escherichia coli (strain K12) OX=83333 GN=raiA PE=1 SV=2,,,,,,,,,,,,,34.0,34.0,,34.0,34.0,1,7.6923076923076925
rsfS,Ribosomal silencing factor RsfS OS=Escherichia coli (strain K12) OX=83333 GN=rsfS PE=1 SV=1,,,,,,,,,,,,,38.0,38.0,,38.0,38.0,1,7.6923076923076925
