Gene_Symbol,Description,sample1,sample10,sample11,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample12,sample13,Mean_Coverage,Std_Coverage,Min_Coverage,Max_Coverage,Detected_Samples,Detection_Rate
RPL37A,60S ribosomal protein L37a OS=Homo sapiens OX=9606 GN=RPL37A PE=1 SV=2,18.0,67.0,18.0,32.0,39.0,52.0,66.0,67.0,38.0,59.0,60.0,,,46.90909090909091,18.8438560037724,18.0,67.0,11,84.61538461538461
EIF3M,Eukaryotic translation initiation factor 3 subunit M OS=Homo sapiens OX=9606 GN=EIF3M PE=1 SV=1,15.0,10.0,23.0,7.0,,,5.0,10.0,37.0,16.0,,,,15.375,10.432606851323676,5.0,37.0,8,61.53846153846154
RPL10A,60S ribosomal protein L10a OS=Homo sapiens OX=9606 GN=RPL10A PE=1 SV=2,27.0,52.0,,31.0,15.0,56.0,56.0,54.0,14.0,39.0,52.0,,,39.6,16.8206222635589,14.0,56.0,10,76.92307692307692
RPS10,40S ribosomal protein S10 OS=Homo sapiens OX=9606 GN=RPS10 PE=1 SV=1,56.0,62.0,68.0,60.0,21.0,55.0,64.0,67.0,66.0,51.0,68.0,,,58.0,13.535139452550904,21.0,68.0,11,84.61538461538461
RPS27AP5,Ubiquitin carboxyl extension protein 80 OS=Homo sapiens OX=9606 GN=RPS27AP5 PE=3 SV=1,35.0,,,,,,,,,,,,,35.0,,35.0,35.0,1,7.6923076923076925
RPL35,60S ribosomal protein L35 OS=Homo sapiens OX=9606 GN=RPL35 PE=1 SV=2,22.0,51.0,30.0,27.0,33.0,51.0,44.0,45.0,30.0,45.0,53.0,,,39.18181818181818,11.00743550349655,22.0,53.0,11,84.61538461538461
RPS20,40S ribosomal protein S20 OS=Homo sapiens OX=9606 GN=RPS20 PE=1 SV=1,50.0,54.0,46.0,32.0,29.0,57.0,53.0,54.0,39.0,39.0,57.0,,,46.36363636363637,10.082387884551231,29.0,57.0,11,84.61538461538461
RPL34,60S ribosomal protein L34 OS=Homo sapiens OX=9606 GN=RPL34 PE=1 SV=3,15.0,38.0,23.0,23.0,37.0,38.0,38.0,42.0,21.0,38.0,42.0,15.0,,30.833333333333332,10.503967504392488,15.0,42.0,12,92.3076923076923
RPS29,40S ribosomal protein S29 OS=Homo sapiens OX=9606 GN=RPS29 PE=1 SV=2,50.0,50.0,50.0,50.0,48.0,50.0,50.0,50.0,63.0,50.0,50.0,,,51.0,4.024922359499621,48.0,63.0,11,84.61538461538461
RPLP0,60S acidic ribosomal protein P0 OS=Homo sapiens OX=9606 GN=RPLP0 PE=1 SV=1,20.0,55.0,20.0,32.0,32.0,56.0,54.0,57.0,17.0,45.0,54.0,10.0,,37.666666666666664,17.7832062419133,10.0,57.0,12,92.3076923076923
RPL12,60S ribosomal protein L12 OS=Homo sapiens OX=9606 GN=RPL12 PE=1 SV=1,45.0,69.0,45.0,56.0,50.0,60.0,73.0,80.0,32.0,56.0,73.0,,,58.09090909090909,14.645508154069256,32.0,80.0,11,84.61538461538461
RPL13,60S ribosomal protein L13 OS=Homo sapiens OX=9606 GN=RPL13 PE=1 SV=4,18.0,56.0,27.0,41.0,43.0,56.0,48.0,56.0,19.0,47.0,61.0,19.0,,40.916666666666664,16.115821324701294,18.0,61.0,12,92.3076923076923
RPL3,60S ribosomal protein L3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=2,16.0,58.0,27.0,28.0,29.0,46.0,50.0,58.0,28.0,34.0,57.0,,,39.18181818181818,15.01877612735593,16.0,58.0,11,84.61538461538461
RPL14,60S ribosomal protein L14 OS=Homo sapiens OX=9606 GN=RPL14 PE=1 SV=4,22.0,43.0,24.0,25.0,28.0,47.0,46.0,45.0,13.0,25.0,53.0,11.0,,31.833333333333332,14.243552502054671,11.0,53.0,12,92.3076923076923
RPS21,40S ribosomal protein S21 OS=Homo sapiens OX=9606 GN=RPS21 PE=1 SV=1,54.0,73.0,73.0,72.0,46.0,72.0,73.0,90.0,80.0,73.0,90.0,45.0,,70.08333333333333,14.773799494887953,45.0,90.0,12,92.3076923076923
EIF3I,Eukaryotic translation initiation factor 3 subunit I OS=Homo sapiens OX=9606 GN=EIF3I PE=1 SV=1,24.0,10.0,45.0,13.0,,,10.0,18.0,28.0,18.0,7.0,,,19.22222222222222,11.861468899105391,7.0,45.0,9,69.23076923076923
RPSA,40S ribosomal protein SA OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=4,46.0,47.0,54.0,47.0,24.0,32.0,49.0,49.0,64.0,42.0,54.0,17.0,,43.75,13.308404726474032,17.0,64.0,12,92.3076923076923
RPS27L,40S ribosomal protein S27-like OS=Homo sapiens OX=9606 GN=RPS27L PE=1 SV=3,40.0,42.0,42.0,40.0,40.0,40.0,38.0,43.0,42.0,42.0,43.0,25.0,,39.75,4.882715339942427,25.0,43.0,12,92.3076923076923
RPS11,40S ribosomal protein S11 OS=Homo sapiens OX=9606 GN=RPS11 PE=1 SV=3,69.0,72.0,73.0,61.0,51.0,70.0,72.0,77.0,73.0,72.0,75.0,28.0,,66.08333333333333,13.905252986050293,28.0,77.0,12,92.3076923076923
RPL18A,60S ribosomal protein L18a OS=Homo sapiens OX=9606 GN=RPL18A PE=1 SV=2,36.0,56.0,30.0,40.0,32.0,60.0,53.0,65.0,31.0,55.0,66.0,,,47.63636363636363,14.037611814498414,30.0,66.0,11,84.61538461538461
RPS27,40S ribosomal protein S27 OS=Homo sapiens OX=9606 GN=RPS27 PE=1 SV=3,40.0,42.0,48.0,40.0,40.0,40.0,40.0,43.0,42.0,42.0,49.0,,,42.36363636363637,3.2333489534143167,40.0,49.0,11,84.61538461538461
RPL13A,60S ribosomal protein L13a OS=Homo sapiens OX=9606 GN=RPL13A PE=1 SV=2,8.0,49.0,10.0,30.0,9.0,51.0,51.0,57.0,19.0,28.0,53.0,,,33.18181818181818,19.594990083274762,8.0,57.0,11,84.61538461538461
RPL19,60S ribosomal protein L19 OS=Homo sapiens OX=9606 GN=RPL19 PE=1 SV=1,35.0,42.0,17.0,36.0,35.0,42.0,46.0,55.0,21.0,40.0,56.0,,,38.63636363636363,12.08530286978963,17.0,56.0,11,84.61538461538461
EIF3E,Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens OX=9606 GN=EIF3E PE=1 SV=1,24.0,6.0,41.0,,,,8.0,13.0,33.0,22.0,4.0,,,18.875,13.44233716923618,4.0,41.0,8,61.53846153846154
RPL10L,60S ribosomal protein L10-like OS=Homo sapiens OX=9606 GN=RPL10L PE=1 SV=3,7.0,,,,,,,,,,,,,7.0,,7.0,7.0,1,7.6923076923076925
RPL31,60S ribosomal protein L31 OS=Homo sapiens OX=9606 GN=RPL31 PE=1 SV=1,18.0,55.0,26.0,40.0,46.0,55.0,55.0,54.0,22.0,34.0,55.0,,,41.81818181818182,14.613816625496447,18.0,55.0,11,84.61538461538461
RPL28,60S ribosomal protein L28 OS=Homo sapiens OX=9606 GN=RPL28 PE=1 SV=3,16.0,56.0,26.0,42.0,36.0,61.0,64.0,69.0,31.0,50.0,59.0,13.0,,43.583333333333336,19.1237992294862,13.0,69.0,12,92.3076923076923
RPL18,60S ribosomal protein L18 OS=Homo sapiens OX=9606 GN=RPL18 PE=1 SV=2,20.0,48.0,25.0,42.0,31.0,53.0,53.0,51.0,13.0,46.0,53.0,20.0,,37.916666666666664,15.12047578215672,13.0,53.0,12,92.3076923076923
RPS24,40S ribosomal protein S24 OS=Homo sapiens OX=9606 GN=RPS24 PE=1 SV=1,44.0,44.0,44.0,35.0,26.0,35.0,55.0,51.0,44.0,44.0,56.0,,,43.45454545454545,8.92595805909524,26.0,56.0,11,84.61538461538461
EIF3D,Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1,11.0,,16.0,5.0,,,7.0,11.0,22.0,9.0,5.0,,,10.75,5.8248237251071755,5.0,22.0,8,61.53846153846154
RPL4,60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5,21.0,70.0,24.0,37.0,22.0,65.0,68.0,69.0,28.0,42.0,72.0,5.0,,43.583333333333336,24.013096174354278,5.0,72.0,12,92.3076923076923
EIF3K,Eukaryotic translation initiation factor 3 subunit K OS=Homo sapiens OX=9606 GN=EIF3K PE=1 SV=1,27.0,10.0,33.0,,,,,10.0,20.0,22.0,10.0,,,18.857142857142858,9.245333443212877,10.0,33.0,7,53.84615384615385
RPS18,40S ribosomal protein S18 OS=Homo sapiens OX=9606 GN=RPS18 PE=1 SV=3,70.0,70.0,70.0,64.0,49.0,70.0,66.0,70.0,70.0,68.0,70.0,13.0,,62.5,16.708734786985463,13.0,70.0,12,92.3076923076923
RPL8,60S ribosomal protein L8 OS=Homo sapiens OX=9606 GN=RPL8 PE=1 SV=2,8.0,49.0,,32.0,26.0,37.0,50.0,40.0,,32.0,62.0,,,37.333333333333336,15.644487847162015,8.0,62.0,9,69.23076923076923
RPS8,40S ribosomal protein S8 OS=Homo sapiens OX=9606 GN=RPS8 PE=1 SV=2,60.0,61.0,61.0,60.0,52.0,61.0,60.0,63.0,62.0,59.0,62.0,29.0,,57.5,9.395356686828194,29.0,63.0,12,92.3076923076923
RPS15,40S ribosomal protein S15 OS=Homo sapiens OX=9606 GN=RPS15 PE=1 SV=2,29.0,29.0,30.0,29.0,23.0,29.0,42.0,23.0,48.0,28.0,29.0,14.0,,29.416666666666668,8.67030809280976,14.0,48.0,12,92.3076923076923
RPL23,60S ribosomal protein L23 OS=Homo sapiens OX=9606 GN=RPL23 PE=1 SV=1,13.0,58.0,21.0,51.0,40.0,58.0,54.0,59.0,21.0,51.0,61.0,,,44.27272727272727,17.71491410699419,13.0,61.0,11,84.61538461538461
RPS6,40S ribosomal protein S6 OS=Homo sapiens OX=9606 GN=RPS6 PE=1 SV=1,43.0,56.0,51.0,46.0,38.0,47.0,49.0,63.0,49.0,45.0,56.0,7.0,,45.833333333333336,13.907704426836315,7.0,63.0,12,92.3076923076923
EIF3CL,Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens OX=9606 GN=EIF3CL PE=1 SV=1,14.0,,,6.0,,2.0,11.0,,,13.0,5.0,,,8.5,4.847679857416329,2.0,14.0,6,46.15384615384615
RPS13,40S ribosomal protein S13 OS=Homo sapiens OX=9606 GN=RPS13 PE=1 SV=2,46.0,55.0,51.0,34.0,34.0,50.0,50.0,56.0,56.0,46.0,56.0,,,48.54545454545455,8.091521937974788,34.0,56.0,11,84.61538461538461
RPL21,60S ribosomal protein L21 OS=Homo sapiens OX=9606 GN=RPL21 PE=1 SV=2,,49.0,,32.0,27.0,33.0,49.0,55.0,,27.0,56.0,,,41.0,12.45563555756418,27.0,56.0,8,61.53846153846154
RPL22,60S ribosomal protein L22 OS=Homo sapiens OX=9606 GN=RPL22 PE=1 SV=2,,48.0,19.0,24.0,21.0,37.0,42.0,37.0,,24.0,38.0,,,32.22222222222222,10.365541203644142,19.0,48.0,9,69.23076923076923
RPL24,60S ribosomal protein L24 OS=Homo sapiens OX=9606 GN=RPL24 PE=1 SV=1,,57.0,18.0,36.0,36.0,52.0,49.0,58.0,21.0,35.0,54.0,13.0,,39.0,16.291101865742537,13.0,58.0,11,84.61538461538461
RPL32,60S ribosomal protein L32 OS=Homo sapiens OX=9606 GN=RPL32 PE=1 SV=2,,67.0,,15.0,27.0,67.0,55.0,60.0,,21.0,67.0,,,47.375,22.462269952713406,15.0,67.0,8,61.53846153846154
